anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,label
0,185.216.64.3,5151,None,5080,ntscUDPOther,999,anomalous
1,None,443,203.65.123.88,None,mptp,504,anomalous
2,None,4001,203.65.112.49,4001,mptp,999,anomalous
3,None,4001,203.65.112.49,22797,mptp,999,anomalous
4,203.65.117.247,None,128.31.126.186,None,ipv4gretun,999,anomalous
5,203.65.117.247,None,204.172.17.158,None,ipv4gretun,999,anomalous
6,203.65.117.247,None,206.237.243.2,None,ipv4gretun,999,anomalous
7,203.65.117.247,None,50.237.10.161,None,ipv4gretun,999,anomalous
8,20.93.133.2,51142,None,5061,ntscSYN,10,anomalous
9,134.238.129.152,51155,None,16022,ntscSYN,10,anomalous
10,None,None,None,6379,dntscSYN,10,anomalous
11,47.63.61.68,None,None,6379,ptmp,999,anomalous
12,1.11.46.207,None,None,6379,mptmp,999,anomalous
13,123.168.97.22,None,None,6379,mptmp,999,anomalous
14,None,6379,47.63.61.68,None,mptp,11,anomalous
15,20.191.151.194,None,None,3389,mptmp,999,anomalous
16,93.81.158.106,None,None,None,mptmp,999,anomalous
17,None,3389,20.191.151.194,None,mptmp,11,anomalous
18,None,6379,None,None,mptmp,11,anomalous
19,None,443,163.21.166.64,None,mptp,504,anomalous
20,None,443,163.21.72.136,None,mptp,504,anomalous
21,69.69.50.42,53,203.65.113.66,None,ptpposcaUDP,999,anomalous
22,None,443,163.21.161.21,None,mptp,504,anomalous
23,121.179.116.246,None,None,6379,ntscSYN,10,anomalous
24,None,53,203.65.124.87,None,mptp,504,anomalous
25,None,443,203.65.124.87,None,mptp,504,anomalous
26,None,None,203.65.103.15,None,mptp,20,anomalous
27,None,443,203.65.123.208,None,mptp,504,anomalous
28,118.60.55.46,None,None,6379,ptmp,10,anomalous
29,None,None,163.21.141.123,443,mptmp,504,anomalous
30,133.240.174.45,None,None,443,mptmp,504,anomalous
31,133.240.39.106,24785,None,None,ptmp,999,anomalous
32,8.242.136.32,53,202.152.173.205,None,mptp,504,anomalous
33,None,443,202.152.173.205,None,mptp,504,anomalous
34,None,443,163.21.166.23,None,mptp,504,anomalous
35,192.195.229.166,None,None,1311,mptmp,999,anomalous
36,45.121.111.144,5720,None,5060,mptmp,999,anomalous
37,144.83.183.213,62910,None,30007,mptmp,999,anomalous
38,31.244.173.205,443,163.21.177.103,None,alphfl,504,anomalous
39,133.240.78.82,1194,108.172.133.133,None,mptpla,999,anomalous
40,157.161.2.228,1194,108.172.133.133,None,mptpla,999,anomalous
41,203.65.122.196,None,None,None,ptmpla,504,anomalous
42,None,443,163.21.161.60,None,mptmp,504,anomalous
43,None,443,163.21.212.171,None,mptmp,504,anomalous
44,157.161.144.77,80,None,None,ptmp,504,anomalous
45,157.161.144.77,443,None,None,ptmp,504,anomalous
46,157.161.144.77,None,None,None,ptmp,504,anomalous
47,203.65.117.44,80,114.58.183.206,None,mptmp,503,anomalous
49,203.65.124.79,80,None,None,mptmp,503,anomalous
49,203.65.113.41,80,None,None,ptmpHTTP,503,anomalous
50,None,None,157.89.184.11,None,ntscICecrqICecrprp,20,anomalous
51,163.21.72.136,None,None,443,ptmp,504,anomalous
52,130.69.30.233,80,222.174.186.255,None,heavy_hitter,503,anomalous
53,None,None,18.158.38.252,None,ntscICecrqICecrprp,20,anomalous
54,None,None,54.239.183.175,None,ntscICecrqICecrprp,20,anomalous
55,124.121.97.181,None,None,None,ntscICec,20,anomalous
56,163.76.120.97,None,None,None,ntscICec,20,anomalous
57,None,None,3.20.63.105,None,ntscICecrqICecrprp,20,anomalous
58,None,None,3.30.218.60,None,ntscICecrqICecrprp,20,anomalous
59,None,None,69.8.91.205,None,ntscICecrqICecrprp,20,anomalous
60,None,443,163.21.67.55,None,mptp,504,anomalous
61,None,None,40.242.1.122,443,mptmp,504,anomalous
62,None,None,69.6.207.138,None,mptmp,504,anomalous
63,71.6.113.28,29011,None,None,ptmp,10,anomalous
64,106.142.128.89,None,None,6379,ntscSYN,10,anomalous
65,218.158.180.173,None,None,6379,ntscSYN,10,anomalous
66,1.2.129.222,53,203.65.122.224,None,mptp,504,anomalous
67,None,443,203.65.122.224,None,mptp,504,anomalous
68,39.83.58.16,50133,None,2375,ntscSYN,10,anomalous
69,39.83.58.16,51196,None,2376,ntscSYN,10,anomalous
70,157.161.91.213,45433,123.249.152.115,51977,alphfl,999,anomalous
71,202.36.217.153,443,None,None,mptmp,504,anomalous
72,202.36.220.32,443,None,None,mptmp,504,anomalous
73,None,None,13.111.136.41,443,mptmp,504,anomalous
74,None,None,13.111.138.1,443,mptmp,504,anomalous
75,163.21.64.150,None,None,443,mptmp,504,anomalous
76,163.21.64.150,None,13.111.136.41,None,mptmp,504,anomalous
77,157.161.198.20,None,None,443,mptmp,504,anomalous
78,157.161.198.21,None,None,443,mptmp,504,anomalous
79,None,10022,134.238.66.143,None,mptp,999,anomalous
80,None,443,163.21.140.249,None,mptp,504,anomalous
81,182.106.145.187,None,None,6379,mptmp,504,anomalous
82,None,443,None,None,mptmp,504,anomalous
83,None,443,163.21.140.235,None,mptmp,504,anomalous
84,None,443,163.21.191.29,None,mptmp,504,anomalous
85,141.225.8.59,51116,None,None,ptmp,10,anomalous
86,None,80,163.21.172.25,None,mptpHTTP,503,anomalous
87,184.148.66.247,443,163.21.172.25,None,mptpHTTP,503,anomalous
88,None,443,163.21.132.8,None,mptmp,504,anomalous
89,13.111.40.28,443,None,None,mptmp,504,anomalous
90,None,443,163.21.251.43,None,mptp,504,anomalous
91,None,443,163.21.208.85,None,mptp,504,anomalous
92,None,None,13.111.12.8,80,mptmp,504,anomalous
93,163.21.140.29,None,None,443,mptmp,504,anomalous
93,157.161.198.18,None,175.157.7.234,3478,salphfl,999,anomalous
95,None,None,202.152.173.202,23,mptmp,999,anomalous
96,107.81.9.228,None,None,23,mptmp,999,anomalous
97,107.81.9.228,None,202.152.173.202,None,mptmp,999,anomalous
98,None,None,203.65.116.35,53,mptmp,503,anomalous
99,None,None,203.65.117.44,80,mptmp,503,anomalous
100,None,None,203.65.124.79,80,mptmp,503,anomalous
101,104.1.84.34,55345,None,22,ntscSYN,10,anomalous
102,None,None,115.232.239.120,None,ntscICecrqICecrprp,20,anomalous
103,None,None,157.89.181.216,None,ntscICecrqICecrprp,20,anomalous
104,None,None,218.243.155.95,None,ntscICecrqICecrprp,20,anomalous
105,0.0.0.0,80,None,None,mptmp,503,anomalous
106,163.21.10.217,443,None,None,mptmp,503,anomalous
107,157.161.157.212,8130,67.77.231.212,None,alphfl,999,anomalous
108,157.161.109.76,None,8.32.162.123,80,ptmplaHTTP,503,anomalous
109,157.161.109.76,None,8.34.72.143,80,ptmplaHTTP,503,anomalous
110,157.161.40.85,None,8.34.37.255,80,ptmpHTTP,503,anomalous
111,157.161.40.85,None,None,443,ptmpHTTP,503,anomalous
112,157.161.40.85,None,None,None,ptmpHTTP,503,anomalous
113,133.240.157.121,None,34.40.138.43,443,ptmpla,504,anomalous
114,133.240.157.121,None,54.147.139.34,443,ptmpla,504,anomalous
115,157.161.57.133,None,None,80,ptmpHTTP,503,anomalous
116,157.161.57.133,None,None,443,ptmpHTTP,503,anomalous
117,130.69.34.215,None,None,443,mptmp,504,anomalous
118,157.161.18.100,None,None,443,mptmp,504,anomalous
118,133.240.188.58,54968,206.88.191.53,10000,alphfl,999,suspicious
119,133.240.20.213,51142,195.55.61.224,51235,alphfl,999,suspicious
120,45.152.109.32,5090,None,5260,ntscUDPOther,999,suspicious
121,133.240.207.201,None,None,1900,ntscUDPOther,999,suspicious
122,218.48.33.238,None,None,1433,ntscSYN,10,suspicious
123,123.129.106.13,None,None,1433,ntscSYN,10,suspicious
124,195.120.13.242,None,None,445,ntscSYN139445,10,suspicious
125,210.50.171.216,None,None,1433,ptmp,10,suspicious
126,128.191.183.209,None,None,1433,ntscSYN,10,suspicious
127,23.149.245.85,None,None,6379,ptmp,10,suspicious
128,103.238.248.87,None,None,445,ntscSYN139445,10,suspicious
129,192.195.230.84,None,None,139,ntscSYN139445,10,suspicious
130,182.154.168.93,None,None,1433,ntscSYN,10,suspicious
131,180.142.179.182,None,None,1433,ntscSYN,10,suspicious
132,203.77.239.90,None,None,1433,sntscSYN,10,suspicious
133,119.114.246.167,None,None,1433,ntscSYN,10,suspicious
134,117.165.213.104,None,None,1433,ntscSYN,10,suspicious
135,58.250.130.109,None,None,1433,ntscSYN,10,suspicious
136,113.231.95.129,None,None,1433,ntscSYN,10,suspicious
137,164.165.252.238,None,None,1433,ntscSYN,10,suspicious
138,120.96.38.243,None,None,6379,ntscSYN,10,suspicious
139,47.33.229.34,None,None,6379,ntscSYN,10,suspicious
140,218.49.144.222,None,None,1433,ntscSYN,10,suspicious
141,106.203.188.153,None,None,6379,ntscSYN,10,suspicious
142,39.154.174.158,None,None,1433,ntscSYN,10,suspicious
143,182.236.144.235,None,None,1433,ntscSYN,10,suspicious
144,124.255.112.176,None,None,445,ntscSYN139445,10,suspicious
145,124.255.112.176,None,None,1433,ntscSYN139445,10,suspicious
146,60.224.173.115,None,None,445,ntscSYN139445,10,suspicious
147,183.151.46.139,None,None,6379,ntscSYN,10,suspicious
148,110.171.41.138,None,None,1433,ntscSYN,10,suspicious
149,61.176.26.58,None,None,1433,ntscSYN,10,suspicious
150,118.152.138.74,None,None,6379,ntscSYN,10,suspicious
151,36.146.50.146,None,None,1433,ntscSYN,10,suspicious
152,219.99.253.101,None,None,1433,ntscSYN,10,suspicious
153,188.221.61.108,None,None,1900,ntscUDPOther,999,suspicious
154,185.208.134.114,None,None,5351,ntscUDPOther,999,suspicious
155,185.208.134.119,None,None,5351,ntscUDPOther,999,suspicious
156,185.208.134.118,None,None,5351,ntscUDPOther,999,suspicious
157,None,445,5.141.23.249,None,mptp,11,suspicious
158,None,1433,210.50.171.216,None,mptp,11,suspicious
159,None,139,192.195.230.84,None,mptp,2,suspicious
160,None,1311,192.195.229.166,None,mptp,999,suspicious
161,None,1433,120.64.190.148,None,mptp,11,suspicious
162,203.65.112.49,4001,None,4001,ptmp,999,suspicious
163,123.168.244.140,6000,None,1433,ptmp,11,suspicious
164,130.69.251.15,None,None,53,ptmp,504,suspicious
165,130.69.251.15,None,None,443,ptmp,504,suspicious
166,133.240.177.210,443,None,None,ptmp,504,suspicious
167,157.161.156.129,None,None,80,ptmpHTTP,503,suspicious
168,192.195.230.213,None,None,1311,mptmp,10,suspicious
167,192.195.241.140,None,None,5632,mptmp,10,suspicious
170,194.26.157.204,40634,None,None,mptmp,10,suspicious
171,203.65.114.222,None,None,None,icmp_error,20,suspicious
172,None,None,203.65.113.41,80,mptpHTTP,503,suspicious
173,47.39.230.158,45479,None,23,sntscSYN,10,suspicious
174,47.41.151.4,29729,None,23,mptmp,10,suspicious
175,47.41.151.4,44872,None,23,mptmp,10,suspicious
176,None,None,163.21.148.140,None,mptmp,10,suspicious
177,133.250.64.65,23,156.129.156.189,None,mptpla,999,suspicious
178,133.250.64.80,23,156.129.156.189,None,mptpla,999,suspicious
179,None,443,163.21.66.30,None,mptp,504,suspicious
180,101.92.139.224,80,163.21.64.135,None,salphfl,503,suspicious
181,None,53,163.21.33.141,None,ntscUDPUDPrp,999,suspicious
182,None,53,163.21.33.158,None,ntscUDPUDPrp,999,suspicious
183,None,53,163.21.33.159,None,ntscUDPUDPrp,999,suspicious
184,None,None,185.156.249.106,48894,mptmp,11,suspicious
185,None,6000,178.33.143.244,51218,mptmp,11,suspicious
186,None,None,203.65.124.69,443,mptpla,504,suspicious
187,None,None,203.65.124.69,3389,mptpla,504,suspicious
188,None,443,203.65.113.97,None,mptp,504,suspicious
189,130.69.249.186,None,None,80,ptmpla,999,suspicious
190,130.69.249.186,None,116.10.218.182,31767,ptmpla,999,suspicious
191,130.69.198.255,None,None,443,ptmp,504,suspicious
192,130.69.30.236,80,None,None,ptmp,504,suspicious
193,130.69.30.236,443,None,None,ptmp,504,suspicious
194,133.227.54.124,443,103.106.168.207,None,ptmp,504,suspicious
195,133.227.54.124,None,None,None,ptmp,504,suspicious
196,133.227.114.176,443,193.137.150.150,None,ptmpla,504,suspicious
197,133.227.114.176,443,79.234.244.60,None,ptmpla,504,suspicious
198,163.21.11.213,80,191.211.192.66,None,ptmplaHTTP,11,suspicious
199,163.21.11.213,80,40.241.97.220,None,ptmplaHTTP,11,suspicious
200,163.21.144.178,None,13.239.120.64,443,ptmpla,504,suspicious
201,163.21.144.178,None,76.223.10.70,443,ptmpla,504,suspicious
202,163.21.202.126,None,None,443,ptmpla,504,suspicious
203,163.21.202.126,None,None,None,ptmpla,504,suspicious
204,167.249.133.167,None,None,None,ptmp,10,suspicious
205,None,443,163.21.72.113,None,mptp,504,suspicious
206,202.152.173.205,None,None,443,ptmp,504,suspicious
207,49.180.238.26,None,None,None,ipv4gretun,999,suspicious
208,138.7.47.156,80,163.21.225.203,None,alphflHTTP,503,suspicious
209,8.32.166.2,80,0.0.0.0,None,alphflHTTP,503,suspicious
201,None,None,163.21.10.217,443,mptp,504,suspicious
211,None,443,163.21.66.226,None,mptp,504,suspicious
212,54.189.164.114,5802,163.21.191.36,None,point_to_point,999,suspicious
213,None,443,163.21.251.171,None,mptp,504,suspicious
214,None,None,163.21.107.194,53,ntscUDPUDPrp,999,suspicious
215,None,5038,2.203.70.2,None,ntscTCPRSTACKrp,11,suspicious
216,None,50802,2.203.70.2,None,ntscTCPRSTACKrp,11,suspicious
217,None,5353,192.103.164.17,636,mptp,999,suspicious
218,None,None,192.103.164.17,None,mptp,999,suspicious
219,126.18.73.147,None,203.65.122.214,None,alphfl,999,suspicious
220,157.161.114.152,None,52.101.49.14,443,alphfl,999,suspicious
221,133.240.205.44,None,52.21.162.129,443,heavy_hitter,11,suspicious